1648661613.45496, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 280}
1648661636.177828, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661636.204375, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661636.204554, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661636.228092, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661636.285234, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661636.285621, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661636.298411, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648661636.298745, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661636.309012, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661636.356429, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661636.395443, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661636.422573, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661636.422879, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661636.436074, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661636.436254, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661636.472792, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661636.521448, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661636.548318, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661636.548488, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661636.562495, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661636.562704, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661636.597846, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661636.639051, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
