1648663115.035755, sdrt-health/mac:02010b41cdec/state, online
1648663127.260887, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663127.306974, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663127.371631, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663127.371903, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663127.388244, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663127.426883, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663127.427148, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663127.455905, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663127.486152, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663127.486486, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663127.499635, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663127.499929, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663127.500326, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663127.547433, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663127.597227, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663127.625813, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663127.626118, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663127.640036, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663127.640796, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663127.687366, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663127.736919, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663127.766281, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663127.766623, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663127.786539, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663127.852173, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663127.852626, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663127.866047, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663127.886987, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663127.916074, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663127.916363, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663127.936017, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
